,close_high,close_left,close_left_and_high,close_right,close_right_and_high,clubName,high_centre,high_left,high_right,low_centre,low_left,low_right,player,player_id,saves
193,2,7,0,5,0,Vancouver Whitecaps FC,2,11,11,14,8,10,Erik Hurtado,151953,0
194,6,1,0,6,2,Colorado Rapids,2,3,7,9,8,7,Dillon Serna,151954,0
195,2,3,0,3,1,New England Revolution,2,0,2,4,4,3,Scott Caldwell,151955,0
196,0,0,0,0,0,Vancouver Whitecaps FC,0,0,0,0,0,0,Ethen Sampson,180631,0
197,2,6,0,5,0,Orlando City SC,3,5,1,11,6,6,Matías Pérez García,49904,0
198,2,2,3,3,0,Orlando City SC,2,9,2,5,6,6,Jose Villarreal,112264,0
199,1,4,1,2,0,LA Galaxy,0,2,0,10,9,4,Emmanuel Boateng,168365,0
200,0,0,0,0,0,New York Red Bulls,1,0,2,0,0,0,Armando Lozano Sánchez,49582,0
201,0,0,0,1,0,New York Red Bulls,0,2,0,0,0,0,David Carney,16815,0
202,2,2,0,3,0,San Jose Earthquakes,1,1,4,3,3,3,Jahmir Hyka,41393,0
203,0,0,0,0,0,Los Angeles Football Club,0,0,0,0,0,0,Rodrigo Pacheco,250290,0
204,1,3,2,1,0,San Jose Earthquakes,0,1,0,1,1,1,J.J. Koval,172473,0
205,2,3,0,1,0,Chicago Fire,0,3,2,3,3,1,Brandon Vincent,172474,0
206,1,3,0,4,0,FC Dallas,2,8,2,5,9,10,Michel Garbini Pereira,53692,0
207,1,4,0,0,0,Los Angeles Football Club,0,4,0,3,5,2,Aaron Kovar,172482,0
208,2,8,2,6,2,Seattle Sounders FC,4,0,4,30,15,5,Jordan Morris,172483,0
209,3,4,0,3,1,New England Revolution,1,4,7,6,5,3,Daigo Kobayashi,61894,0
210,3,4,0,1,0,New York City FC,2,0,2,9,2,5,Mikkel Diskerud,61898,0
211,1,0,0,0,0,New England Revolution,0,0,0,0,0,0,,12748,0
212,0,0,0,0,0,Real Salt Lake,0,0,0,0,0,0,Shawn Barry,97016,0
213,0,0,0,0,0,Portland Timbers,0,0,0,0,0,0,Marco Farfan,242130,0
214,0,0,0,0,0,Columbus Crew SC,0,0,0,0,0,0,Kinsley Mensah Baiden,172499,0
215,0,0,0,0,0,Houston Dynamo,1,1,1,3,0,1,Philippe Senderos,16854,0
216,0,0,0,1,0,San Jose Earthquakes,0,1,0,0,0,0,Sercan Güvenisik,25048,0
217,0,0,0,0,0,Real Salt Lake,0,0,0,0,0,0,Phanuel Kavita,131819,0
218,0,2,0,0,0,New York City FC,1,0,1,4,3,2,Kwadwo Poku,33242,0
219,0,0,0,0,0,Minnesota United FC,0,0,0,0,0,0,Ismaila Jome,172510,0
220,0,1,0,2,0,D.C. United,0,0,2,6,8,0,Zoltan Stieber,20962,0
221,0,0,0,0,0,D.C. United,0,1,0,0,0,0,Joseph Mora,205285,0
222,0,0,0,0,0,Montreal Impact,0,0,1,0,0,0,Nicholas DePuy,172518,0
223,0,0,0,0,1,Minnesota United FC,0,1,1,3,1,1,Tyrone Mears,12780,0
224,0,1,0,2,0,New York City FC,1,0,0,6,0,4,Jo Inge Berget,61934,0
225,0,0,0,0,0,Real Salt Lake,0,0,2,0,0,0,Artur Aghasyan,98800,0
226,1,1,0,2,0,New York Red Bulls,0,2,1,7,3,3,Jan Gunnar Solli,16882,0
227,0,0,0,0,0,Minnesota United FC,0,0,0,0,0,0,Wyatt Omsberg,442451,0
228,9,8,1,4,1,Toronto FC,4,6,10,9,11,8,Michael Bradley,37368,0
229,0,2,0,0,0,Montreal Impact,0,0,2,1,1,0,Bakary Soumaré,41466,0
230,0,0,0,0,0,Toronto FC,0,0,0,0,0,0,Øyvind Alseth,143867,0
231,2,2,0,3,0,Houston Dynamo,1,6,6,2,6,9,Calen Carr,41469,0
232,0,0,0,0,0,Chicago Fire,2,0,4,1,1,0,Logan Pause,41470,0
233,5,7,1,9,1,Real Salt Lake,5,13,8,18,15,13,Chad Barrett,41471,0
234,0,0,0,3,0,Montreal Impact,1,0,2,3,3,2,Chris Duvall,131840,0
235,0,0,0,0,0,Colorado Rapids,0,0,0,0,0,0,Matt Pickens,41474,0
236,0,2,1,1,0,Chicago Fire,1,4,2,6,4,3,Gonzalo Segares,41476,0
237,0,0,0,0,0,Vancouver Whitecaps FC,0,0,0,0,0,0,,41478,0
238,0,0,0,0,0,LA Galaxy,0,0,0,0,1,0,Dasan Robinson,41479,0
239,0,0,0,1,0,Vancouver Whitecaps FC,1,0,1,1,3,2,Bernie Ibini-Isei,102921,0
240,0,0,0,0,0,Seattle Sounders FC,1,3,2,3,1,1,Mario Roberto Martínez,61962,0
241,0,0,0,1,0,D.C. United,0,2,1,1,4,3,Daniel Woolard,41484,0
242,0,0,0,0,0,Columbus Crew SC,0,0,0,0,0,0,William Hesmer,41486,0
243,2,12,0,10,4,Seattle Sounders FC,5,6,9,14,9,18,Brad Evans,41487,0
244,1,0,0,0,1,Portland Timbers,0,0,2,0,0,0,Danny O'Rourke,41488,0
245,0,0,0,0,1,Houston Dynamo,0,0,0,1,0,0,Jason Garey,41489,0
246,0,2,0,0,0,D.C. United,0,1,2,2,1,1,Joseph Ngwenya,41490,0
247,1,0,1,9,0,Portland Timbers,2,6,8,17,10,11,Ned Grabavoy,41491,0
248,0,1,2,1,0,Minnesota United FC,1,6,2,0,0,3,Marc Burch,41492,0
249,24,29,6,41,7,Vancouver Whitecaps FC,18,41,42,71,61,71,Kei Kamara,41493,0
250,0,1,0,0,0,New England Revolution,0,0,0,2,2,3,,37398,0
251,0,0,0,0,0,New York Red Bulls,0,0,0,0,0,0,Bill Gaudette,41495,0
252,0,0,0,0,0,San Jose Earthquakes,0,0,0,0,0,0,Tim Ward,41496,0
253,0,0,0,2,0,New York Red Bulls,1,0,1,1,1,0,Fredrik Gulbrandsen,61977,0
254,0,0,0,0,0,San Jose Earthquakes,0,0,0,0,0,0,Jed Zayner,41499,0
255,3,5,1,6,0,Portland Timbers,3,5,4,8,3,7,Amobi Okugo,82460,0
256,0,1,0,1,1,Philadelphia Union,0,3,2,3,1,2,Róger Torres,82462,0
257,0,0,0,0,0,D.C. United,0,0,0,0,0,0,Travis Worra,205343,0
258,6,20,1,13,1,LA Galaxy,9,14,13,44,28,24,Jack McInerney,82464,0
259,3,3,0,3,0,Orlando City SC,4,1,7,9,10,4,Danny Mwanga,82465,0
260,0,0,0,0,0,Colorado Rapids,0,0,0,1,0,0,Danny Earls,82467,0
261,0,1,0,0,0,Colorado Rapids,0,0,0,0,0,1,Ross LaBauex,82468,0
262,1,1,0,0,0,Philadelphia Union,0,0,1,3,1,0,Helbert Federico Carreiro da Silva,41512,0
263,1,0,0,0,0,New York Red Bulls,0,0,0,0,0,0,Muhamed Keita,61993,0
264,1,3,0,7,1,LA Galaxy,0,1,3,3,0,0,Jelle van Damme,12843,0
265,1,0,0,1,0,Portland Timbers,0,2,0,0,1,0,Hanyer Mosquera,111149,0
266,1,3,0,7,0,Philadelphia Union,0,3,6,9,8,9,Roland Alberg,86574,0
267,0,0,0,0,0,New York Red Bulls,0,0,0,0,0,0,Ian Christianson,127535,0
268,3,5,0,1,0,San Jose Earthquakes,2,4,4,8,8,5,Cordell Cato,111152,0
269,0,0,0,0,0,Vancouver Whitecaps FC,0,0,0,0,0,0,Jay Nolly,41523,0
270,3,0,0,2,0,Philadelphia Union,1,2,3,3,3,6,Keegan Rosenberry,127541,0
271,5,4,1,5,1,Atlanta United FC,9,4,11,9,10,13,Bobby Boswell,41526,0
272,0,0,0,0,0,Vancouver Whitecaps FC,0,0,0,0,0,0,Cole Seiler,127543,0
273,1,0,1,1,0,Chicago Fire,1,1,2,0,1,0,Michael Harrington,41528,0
274,1,2,0,3,0,San Jose Earthquakes,1,1,2,6,3,5,Leandro Barrera,86900,0
275,0,0,0,0,0,D.C. United,0,0,0,0,0,0,Kurt Morsink,41530,0
276,0,0,0,1,0,Chivas USA,0,2,2,1,0,0,Bryan de la Fuente,90683,0
277,3,6,2,7,0,Portland Timbers,6,5,15,7,14,9,Jack Jewsbury,41532,0
278,7,11,0,5,2,Real Salt Lake,2,3,7,22,9,9,Yura Movsisyan,41535,0
279,0,2,1,0,0,Columbus Crew SC,0,2,2,3,0,1,Tyson Wahl,41537,0
280,0,0,0,0,0,Montreal Impact,0,0,0,0,0,0,Eric Kronberg,41540,0
281,0,0,0,0,0,Toronto FC,1,0,0,0,0,0,Chris Konopka,41543,0
